cluster_rep,DMS_id,split
F7YBW8_MESOW_Aakre_2015,F7YBW8_MESOW_Aakre_2015,train
F7YBW8_MESOW_Aakre_2015,F7YBW8_MESOW_Ding_2023,train
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI_Tsuboyama_2023_2D1U,train
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN_Tsuboyama_2023_2KFV,train
GAL4_YEAST_Kitzman_2015,GAL4_YEAST_Kitzman_2015,test
GCN4_YEAST_Staller_2018,GCN4_YEAST_Staller_2018,train
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN_Silverstein_2021,train
GLPA_HUMAN_Elazar_2016,GLPA_HUMAN_Elazar_2016,train
GRB2_HUMAN_Faure_2021,GRB2_HUMAN_Faure_2021,test
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD_Tsuboyama_2023_2L6Q,train
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN_Tsuboyama_2023_3DKM,test
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN_Loggerenberg_2023,train
HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST_Pokusaeva_2019,train
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN_Jiang_2019,train
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,train
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST_Flynn_2019,train
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST_Mishra_2016,train
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN_Gersing_2023_abundance,train
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN_Gersing_2022_activity,train
IF1_ECOLI_Kelsic_2016,IF1_ECOLI_Kelsic_2016,test
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN_Tsuboyama_2023_2L33,train
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW_Tsuboyama_2023_2LHR,train
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN_Muhammad_2023_function,train
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN_Muhammad_2023_expression,train
KCNH2_HUMAN_Kozek_2020,KCNH2_HUMAN_Kozek_2020,test
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE_Coyote-Maestas_2022_surface,train
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE_Coyote-Maestas_2022_function,train
KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN_Melnikov_2014,train
LGK_LIPST_Klesmith_2015,LGK_LIPST_Klesmith_2015,train
LYAM1_HUMAN_Elazar_2016,LYAM1_HUMAN_Elazar_2016,train
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE_Tsuboyama_2023_1K1V,train
MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH_Tsuboyama_2023_6ACV,train
MET_HUMAN_Estevam_2023,MET_HUMAN_Estevam_2023,train
MK01_HUMAN_Brenan_2016,MK01_HUMAN_Brenan_2016,train
MLAC_ECOLI_MacRae_2023,MLAC_ECOLI_MacRae_2023,test
MSH2_HUMAN_Jia_2020,MSH2_HUMAN_Jia_2020,train
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE_RockahShmuel_2015,train
MTHR_HUMAN_Weile_2021,MTHR_HUMAN_Weile_2021,train
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST_Tsuboyama_2023_2BTT,train
NCAP_I34A1_Doud_2015,NCAP_I34A1_Doud_2015,train
NCAP_I34A1_Doud_2015,I6TAH8_I68A0_Doud_2015,train
NPC1_HUMAN_Erwood_2022_RPE1,NPC1_HUMAN_Erwood_2022_RPE1,train
NPC1_HUMAN_Erwood_2022_RPE1,NPC1_HUMAN_Erwood_2022_HEK293T,train
NRAM_I33A0_Jiang_2016,NRAM_I33A0_Jiang_2016,train
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN_Suiter_2020,train
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI_Tsuboyama_2023_1WCL,train
NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU_Tsuboyama_2023_2MI6,test
OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN_Tsuboyama_2023_1V1C,train
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE_Tsuboyama_2023_1W4G,train
OPSD_HUMAN_Wan_2019,OPSD_HUMAN_Wan_2019,test
OTC_HUMAN_Lo_2023,OTC_HUMAN_Lo_2023,train
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN_Tsuboyama_2023_2L2D,train
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO_Vanella_2023_expression,test
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO_Vanella_2023_activity,test
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN_Giacomelli_2018_Null_Etoposide,train
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN_Giacomelli_2018_Null_Nutlin,train
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN_Giacomelli_2018_WT_Nutlin,train
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN_Kotler_2018,train
PA_I34A1_Wu_2015,PA_I34A1_Wu_2015,train
PABP_YEAST_Melamed_2013,PABP_YEAST_Melamed_2013,train
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN_Huttinger_2021,train
PHOT_CHLRE_Chen_2023,PHOT_CHLRE_Chen_2023,train
PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN_Tsuboyama_2023_1I6C,train
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN_Tsuboyama_2023_2L7M,train
PITX2_HUMAN_Tsuboyama_2023_2L7M,NKX31_HUMAN_Tsuboyama_2023_2L9R,train
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN_Tsuboyama_2023_1URF,train
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N_Mattenberger_2021,train
POLG_DEN26_Suphatrakul_2023,POLG_DEN26_Suphatrakul_2023,train
POLG_HCVJF_Qi_2014,POLG_HCVJF_Qi_2014,train
POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV_Tsuboyama_2023_2MXD,train
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN_Majithia_2016,train
PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN_Miller_2022,train
PR40A_HUMAN_Tsuboyama_2023_1UZC,PR40A_HUMAN_Tsuboyama_2023_1UZC,train
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN_Clausen_2023,train
PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2_Tsuboyama_2023_1PSE,train
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN_Mighell_2018,train
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN_Matreyek_2021,train
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN_McShan_2019_expression,train
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,train
Q59976_STRSQ_Romero_2015,Q59976_STRSQ_Romero_2015,test
Q6WV12_9MAXI_Somermeyer_2022,Q6WV12_9MAXI_Somermeyer_2022,train
Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA_Meier_2023,train
Q837P5_ENTFA_Meier_2023,Q837P4_ENTFA_Meier_2023,train
R1AB_SARS2_Flynn_2022,R1AB_SARS2_Flynn_2022,test
RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA_Tsuboyama_2023_2CJJ,train
RAF1_HUMAN_Zinkus-Boltz_2019,RAF1_HUMAN_Zinkus-Boltz_2019,train
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN_Weng_2022_binding-DARPin_K55,train
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASH_HUMAN_Bandaru_2017,train
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN_Weng_2022_abundance,train
RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN_Tsuboyama_2023_2KWH,train
RCD1_ARATH_Tsuboyama_2023_5OAO,RCD1_ARATH_Tsuboyama_2023_5OAO,train
RCRO_LAMBD_Tsuboyama_2023_1ORC,RCRO_LAMBD_Tsuboyama_2023_1ORC,train
RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN_Tsuboyama_2023_1IFY,train
RDRP_I33A0_Li_2023,RDRP_I33A0_Li_2023,train
REV_HV1H2_Fernandes_2016,REV_HV1H2_Fernandes_2016,test
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI_Tsuboyama_2023_2LCL,train
RL20_AQUAE_Tsuboyama_2023_1GYZ,RL20_AQUAE_Tsuboyama_2023_1GYZ,train
RL40A_YEAST_Mavor_2016,RL40A_YEAST_Mavor_2016,train
RL40A_YEAST_Mavor_2016,RL40A_YEAST_Roscoe_2013,train
RL40A_YEAST_Mavor_2016,RL40A_YEAST_Roscoe_2014,train
RNC_ECOLI_Weeks_2023,RNC_ECOLI_Weeks_2023,train
RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434_Tsuboyama_2023_1R69,test
RPC1_LAMBD_Li_2019_low-expression,RPC1_LAMBD_Li_2019_low-expression,train
RPC1_LAMBD_Li_2019_low-expression,RPC1_LAMBD_Li_2019_high-expression,train
RS15_GEOSE_Tsuboyama_2023_1A32,RS15_GEOSE_Tsuboyama_2023_1A32,test
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN_Yee_2023_activity,train
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN_Yee_2023_abundance,train
SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE_Tsuboyama_2023_2YSB,train
SBI_STAAM_Tsuboyama_2023_2JVG,SBI_STAAM_Tsuboyama_2023_2JVG,train
SC6A4_HUMAN_Young_2021,SC6A4_HUMAN_Young_2021,test
SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR_Tsuboyama_2023_2QFF,train
SCN5A_HUMAN_Glazer_2019,SCN5A_HUMAN_Glazer_2019,train
SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU_Tsuboyama_2023_1PV0,train
SERC_HUMAN_Xie_2023,SERC_HUMAN_Xie_2023,train
SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN_Kwon_2022,train
SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN_Tsuboyama_2023_7JJK,train
SPA_STAAU_Tsuboyama_2023_1LP1,SPA_STAAU_Tsuboyama_2023_1LP1,train
SPG1_STRSG_Wu_2016,SPG1_STRSG_Wu_2016,train
SPG1_STRSG_Wu_2016,SPG1_STRSG_Olson_2014,train
SPG2_STRSG_Tsuboyama_2023_5UBS,SPG2_STRSG_Tsuboyama_2023_5UBS,train
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2_Starr_2020_expression,train
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2_Starr_2020_binding,train
SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK_Tsuboyama_2023_1TUD,train
SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE_Tsuboyama_2023_2RRU,train
SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH_Tsuboyama_2023_2N88,train
SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN_Tsuboyama_2023_2O2W,test
SRC_HUMAN_Ahler_2019,SRC_HUMAN_Ahler_2019,train
SRC_HUMAN_Ahler_2019,SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,train
SRC_HUMAN_Ahler_2019,SRC_HUMAN_Nguyen_2022,train
SUMO1_HUMAN_Weile_2017,SUMO1_HUMAN_Weile_2017,test
SYUA_HUMAN_Newberry_2020,SYUA_HUMAN_Newberry_2020,train
TADBP_HUMAN_Bolognesi_2019,TADBP_HUMAN_Bolognesi_2019,train
TAT_HV1BR_Fernandes_2016,TAT_HV1BR_Fernandes_2016,test
TCRG1_MOUSE_Tsuboyama_2023_1E0L,TCRG1_MOUSE_Tsuboyama_2023_1E0L,train
THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST_Tsuboyama_2023_2WQG,test
TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN_Tsuboyama_2023_5JRT,test
TPK1_HUMAN_Weile_2017,TPK1_HUMAN_Weile_2017,train
TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN_Matreyek_2018,train
TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN_Bridgford_2020,train
TRPC_SACS2_Chan_2017,TRPC_SACS2_Chan_2017,train
TRPC_SACS2_Chan_2017,P84126_THETH_Chan_2017,train
TRPC_SACS2_Chan_2017,TRPC_THEMA_Chan_2017,train
UBC9_HUMAN_Weile_2017,UBC9_HUMAN_Weile_2017,train
UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBE4B_HUMAN_Tsuboyama_2023_3L1X,train
UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE_Starita_2013,train
UBR5_HUMAN_Tsuboyama_2023_1I2T,UBR5_HUMAN_Tsuboyama_2023_1I2T,test
VG08_BPP22_Tsuboyama_2023_2GP8,VG08_BPP22_Tsuboyama_2023_2GP8,train
VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK_Tsuboyama_2023_1YU5,test
VKOR1_HUMAN_Chiasson_2020_activity,VKOR1_HUMAN_Chiasson_2020_activity,train
VKOR1_HUMAN_Chiasson_2020_activity,VKOR1_HUMAN_Chiasson_2020_abundance,train
VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7_Tsuboyama_2023_2WNM,test
YAIA_ECOLI_Tsuboyama_2023_2KVT,YAIA_ECOLI_Tsuboyama_2023_2KVT,test
YAP1_HUMAN_Araya_2012,YAP1_HUMAN_Araya_2012,train
YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU_Tsuboyama_2023_2JVD,train
